id,split,question,answer,has_options
train_4250,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_4251,train,What are the risk factors for hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_4252,train,What are the symptoms of asthma?,"fatigue, dizziness, cough",True
train_4253,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_4254,train,How is hypertension treated?,"chemotherapy, vaccination",True
train_4255,train,How is cancer treated?,"aspirin, insulin",True
train_4256,train,What causes cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_4257,train,What are the symptoms of asthma?,"cough, shortness_of_breath, chest_pain",True
train_4258,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_4259,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_4260,train,How is influenza treated?,"chemotherapy, antibiotics",True
train_4261,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_4262,train,What are the symptoms of diabetes?,"headache, cough, shortness_of_breath",True
train_4263,train,How is asthma treated?,"radiation, antibiotics",True
train_4264,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_4265,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_4266,train,What are the symptoms of asthma?,"cough, chest_pain, fever",True
train_4267,train,How is influenza diagnosed?,influenza is diagnosed through clinical evaluation and laboratory tests.,True
train_4268,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_4269,train,How is pneumonia treated?,"ibuprofen, surgery",True
train_4270,train,How is cancer treated?,"aspirin, radiation",True
train_4271,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_4272,train,What are the symptoms of influenza?,"chest_pain, fatigue, nausea",True
train_4273,train,What are the symptoms of migraine?,"dizziness, fatigue, pain",True
train_4274,train,How is hypertension treated?,"chemotherapy, physical_therapy",True
train_4275,train,How is asthma diagnosed?,asthma is diagnosed through clinical evaluation and laboratory tests.,True
train_4276,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_4277,train,How is asthma diagnosed?,asthma is diagnosed through clinical evaluation and laboratory tests.,True
train_4278,train,How is cancer treated?,"ibuprofen, chemotherapy",True
train_4279,train,How is arthritis diagnosed?,arthritis is diagnosed through clinical evaluation and laboratory tests.,True
train_4280,train,How is hypertension treated?,"antibiotics, aspirin",True
train_4281,train,What are the symptoms of depression?,"chest_pain, pain, nausea",True
train_4282,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_4283,train,How is hypertension treated?,"ibuprofen, antivirals",True
train_4284,train,What are the risk factors for influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_4285,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_4286,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_4287,train,What are the risk factors for hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_4288,train,What causes depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_4289,train,How is stroke treated?,"vaccination, chemotherapy",True
train_4290,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_4291,train,What are the symptoms of diabetes?,"pain, cough, chest_pain",True
train_4292,train,What are the risk factors for hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_4293,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_4294,train,How is arthritis diagnosed?,arthritis is diagnosed through clinical evaluation and laboratory tests.,True
train_4295,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_4296,train,What are the symptoms of stroke?,"headache, chest_pain, fatigue",True
train_4297,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_4298,train,How is arthritis treated?,"radiation, insulin",True
train_4299,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_4300,train,How is stroke treated?,"vaccination, ibuprofen",True
train_4301,train,How is depression treated?,"aspirin, antivirals",True
train_4302,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_4303,train,How is stroke treated?,"surgery, aspirin",True
train_4304,train,What are the symptoms of migraine?,"joint_pain, nausea, shortness_of_breath",True
train_4305,train,How is pneumonia treated?,"vaccination, physical_therapy",True
train_4306,train,How is arthritis treated?,"ibuprofen, insulin",True
train_4307,train,How is pneumonia treated?,"insulin, aspirin",True
train_4308,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_4309,train,What are the symptoms of depression?,"nausea, chest_pain, cough",True
train_4310,train,How is influenza treated?,"chemotherapy, vaccination",True
train_4311,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_4312,train,What are the symptoms of stroke?,"fatigue, fever, shortness_of_breath",True
train_4313,train,What are the symptoms of diabetes?,"pain, cough, joint_pain",True
train_4314,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_4315,train,How is cancer treated?,"antibiotics, surgery",True
train_4316,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_4317,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_4318,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_4319,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_4320,train,How is depression diagnosed?,depression is diagnosed through clinical evaluation and laboratory tests.,True
train_4321,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_4322,train,What are the symptoms of pneumonia?,"headache, joint_pain, dizziness",True
train_4323,train,What are the risk factors for pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_4324,train,What are the symptoms of diabetes?,"headache, cough, shortness_of_breath",True
train_4325,train,What causes cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_4326,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_4327,train,What are the symptoms of asthma?,"fatigue, nausea, cough",True
train_4328,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_4329,train,What are the symptoms of diabetes?,"fever, headache, pain",True
train_4330,train,How is hypertension treated?,"vaccination, chemotherapy",True
train_4331,train,How is stroke treated?,"chemotherapy, physical_therapy",True
train_4332,train,How is asthma diagnosed?,asthma is diagnosed through clinical evaluation and laboratory tests.,True
train_4333,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_4334,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_4335,train,What are the symptoms of arthritis?,"shortness_of_breath, cough, joint_pain",True
train_4336,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_4337,train,What causes depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_4338,train,How is depression diagnosed?,depression is diagnosed through clinical evaluation and laboratory tests.,True
train_4339,train,How is depression diagnosed?,depression is diagnosed through clinical evaluation and laboratory tests.,True
train_4340,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_4341,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_4342,train,What causes depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_4343,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_4344,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_4345,train,What are the risk factors for influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_4346,train,What causes depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_4347,train,What are the symptoms of migraine?,"nausea, fever, shortness_of_breath",True
train_4348,train,How is influenza treated?,"vaccination, aspirin",True
train_4349,train,What are the symptoms of stroke?,"fatigue, fever, cough",True
train_4350,train,How is asthma treated?,"insulin, aspirin",True
train_4351,train,How is depression diagnosed?,depression is diagnosed through clinical evaluation and laboratory tests.,True
train_4352,train,What causes asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_4353,train,What are the symptoms of influenza?,"fatigue, chest_pain, joint_pain",True
train_4354,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_4355,train,What are the risk factors for stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_4356,train,How is depression treated?,"antibiotics, vaccination",True
train_4357,train,What are the symptoms of asthma?,"cough, dizziness, nausea",True
train_4358,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_4359,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_4360,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_4361,train,How is hypertension treated?,"physical_therapy, insulin",True
train_4362,train,What are the risk factors for hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_4363,train,How is asthma treated?,"physical_therapy, antivirals",True
train_4364,train,What causes asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_4365,train,How is migraine diagnosed?,migraine is diagnosed through clinical evaluation and laboratory tests.,True
train_4366,train,How is hypertension treated?,"antibiotics, radiation",True
train_4367,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_4368,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_4369,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_4370,train,What are the symptoms of asthma?,"pain, fever, cough",True
train_4371,train,What are the symptoms of asthma?,"cough, joint_pain, chest_pain",True
train_4372,train,What are the risk factors for hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_4373,train,What are the symptoms of asthma?,"dizziness, pain, joint_pain",True
train_4374,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_4375,train,How is cancer treated?,"radiation, antibiotics",True
train_4376,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_4377,train,How is migraine treated?,"radiation, aspirin",True
train_4378,train,How is pneumonia treated?,"chemotherapy, radiation",True
train_4379,train,What are the risk factors for stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_4380,train,How is asthma treated?,"physical_therapy, ibuprofen",True
train_4381,train,What are the symptoms of diabetes?,"fatigue, chest_pain, fever",True
train_4382,train,How is arthritis treated?,"insulin, ibuprofen",True
train_4383,train,How is influenza treated?,"chemotherapy, ibuprofen",True
train_4384,train,What are the symptoms of cancer?,"chest_pain, dizziness, shortness_of_breath",True
train_4385,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_4386,train,What are the symptoms of pneumonia?,"joint_pain, pain, chest_pain",True
train_4387,train,What are the symptoms of asthma?,"dizziness, joint_pain, fatigue",True
train_4388,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_4389,train,What are the symptoms of stroke?,"joint_pain, nausea, shortness_of_breath",True
train_4390,train,What are the symptoms of stroke?,"chest_pain, cough, fever",True
train_4391,train,What are the risk factors for depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_4392,train,How is depression treated?,"antivirals, vaccination",True
train_4393,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_4394,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_4395,train,What are the symptoms of hypertension?,"dizziness, fever, shortness_of_breath",True
train_4396,train,What are the symptoms of depression?,"shortness_of_breath, pain, joint_pain",True
train_4397,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_4398,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_4399,train,How is influenza treated?,"insulin, vaccination",True
train_4400,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_4401,train,What are the symptoms of migraine?,"fever, chest_pain, headache",True
train_4402,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_4403,train,What are the symptoms of asthma?,"cough, joint_pain, shortness_of_breath",True
train_4404,train,How is asthma treated?,"insulin, ibuprofen",True
train_4405,train,How is influenza treated?,"vaccination, antibiotics",True
train_4406,train,What are the symptoms of pneumonia?,"chest_pain, cough, fatigue",True
train_4407,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_4408,train,What are the symptoms of asthma?,"pain, dizziness, headache",True
train_4409,train,What are the risk factors for asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_4410,train,How is influenza treated?,"radiation, chemotherapy",True
train_4411,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_4412,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_4413,train,How is depression treated?,"radiation, surgery",True
train_4414,train,What are the symptoms of cancer?,"fever, dizziness, pain",True
train_4415,train,How is diabetes treated?,"surgery, physical_therapy",True
train_4416,train,How is cancer treated?,"chemotherapy, antibiotics",True
train_4417,train,What are the risk factors for pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_4418,train,How is hypertension treated?,"radiation, physical_therapy",True
train_4419,train,How is pneumonia treated?,"antivirals, physical_therapy",True
train_4420,train,What are the symptoms of pneumonia?,"headache, pain, cough",True
train_4421,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_4422,train,What are the symptoms of cancer?,"dizziness, shortness_of_breath, fever",True
train_4423,train,What are the symptoms of diabetes?,"fatigue, chest_pain, fever",True
train_4424,train,How is arthritis diagnosed?,arthritis is diagnosed through clinical evaluation and laboratory tests.,True
train_4425,train,What are the risk factors for stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_4426,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_4427,train,What are the symptoms of pneumonia?,"fever, headache, dizziness",True
train_4428,train,What causes cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_4429,train,What are the symptoms of migraine?,"joint_pain, dizziness, shortness_of_breath",True
train_4430,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_4431,train,How is hypertension treated?,"antivirals, radiation",True
train_4432,train,What are the risk factors for arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_4433,train,How is depression diagnosed?,depression is diagnosed through clinical evaluation and laboratory tests.,True
train_4434,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_4435,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_4436,train,What are the symptoms of diabetes?,"nausea, cough, headache",True
train_4437,train,How is arthritis diagnosed?,arthritis is diagnosed through clinical evaluation and laboratory tests.,True
train_4438,train,How is depression treated?,"physical_therapy, vaccination",True
train_4439,train,What are the symptoms of cancer?,"headache, joint_pain, shortness_of_breath",True
train_4440,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_4441,train,What are the symptoms of diabetes?,"chest_pain, nausea, fatigue",True
train_4442,train,How is stroke treated?,"surgery, physical_therapy",True
train_4443,train,How is pneumonia treated?,"antivirals, radiation",True
train_4444,train,How is hypertension treated?,"antivirals, aspirin",True
train_4445,train,How is arthritis treated?,"insulin, physical_therapy",True
train_4446,train,What are the symptoms of arthritis?,"pain, cough, fatigue",True
train_4447,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_4448,train,How is hypertension treated?,"antivirals, insulin",True
train_4449,train,How is arthritis diagnosed?,arthritis is diagnosed through clinical evaluation and laboratory tests.,True
train_4450,train,What are the symptoms of diabetes?,"nausea, joint_pain, cough",True
train_4451,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_4452,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_4453,train,How is asthma treated?,"antivirals, vaccination",True
train_4454,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_4455,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_4456,train,What are the symptoms of migraine?,"fever, cough, dizziness",True
train_4457,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_4458,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_4459,train,How is influenza diagnosed?,influenza is diagnosed through clinical evaluation and laboratory tests.,True
train_4460,train,What are the symptoms of stroke?,"fever, headache, shortness_of_breath",True
train_4461,train,What are the symptoms of arthritis?,"joint_pain, pain, fatigue",True
train_4462,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_4463,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_4464,train,What are the symptoms of arthritis?,"nausea, dizziness, cough",True
train_4465,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_4466,train,What are the symptoms of depression?,"fatigue, chest_pain, shortness_of_breath",True
train_4467,train,How is migraine diagnosed?,migraine is diagnosed through clinical evaluation and laboratory tests.,True
train_4468,train,How is depression diagnosed?,depression is diagnosed through clinical evaluation and laboratory tests.,True
train_4469,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_4470,train,What are the symptoms of depression?,"dizziness, fatigue, joint_pain",True
train_4471,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_4472,train,What are the risk factors for arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_4473,train,What are the risk factors for depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_4474,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_4475,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_4476,train,What causes cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_4477,train,How is pneumonia treated?,"insulin, aspirin",True
train_4478,train,What are the risk factors for arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_4479,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_4480,train,How is asthma treated?,"vaccination, physical_therapy",True
train_4481,train,What causes cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_4482,train,What are the symptoms of diabetes?,"nausea, fever, dizziness",True
train_4483,train,What are the symptoms of pneumonia?,"joint_pain, headache, shortness_of_breath",True
train_4484,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_4485,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_4486,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_4487,train,How is stroke treated?,"antibiotics, insulin",True
train_4488,train,How is depression diagnosed?,depression is diagnosed through clinical evaluation and laboratory tests.,True
train_4489,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_4490,train,What are the risk factors for asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_4491,train,What are the symptoms of diabetes?,"pain, joint_pain, headache",True
train_4492,train,What are the symptoms of asthma?,"chest_pain, pain, shortness_of_breath",True
train_4493,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_4494,train,What are the risk factors for influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_4495,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_4496,train,What are the symptoms of depression?,"joint_pain, cough, shortness_of_breath",True
train_4497,train,How is hypertension treated?,"radiation, ibuprofen",True
train_4498,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_4499,train,How is stroke treated?,"insulin, antibiotics",True
train_4500,train,How is hypertension treated?,"chemotherapy, surgery",True
train_4501,train,What are the risk factors for stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_4502,train,What are the symptoms of migraine?,"fever, dizziness, shortness_of_breath",True
train_4503,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_4504,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_4505,train,What are the symptoms of arthritis?,"dizziness, fever, pain",True
train_4506,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_4507,train,How is influenza treated?,"vaccination, antivirals",True
train_4508,train,How is asthma diagnosed?,asthma is diagnosed through clinical evaluation and laboratory tests.,True
train_4509,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_4510,train,How is depression treated?,"antibiotics, antivirals",True
train_4511,train,What are the risk factors for arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_4512,train,What are the risk factors for pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_4513,train,How is depression diagnosed?,depression is diagnosed through clinical evaluation and laboratory tests.,True
train_4514,train,What are the symptoms of influenza?,"joint_pain, pain, chest_pain",True
train_4515,train,What causes asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_4516,train,What are the symptoms of cancer?,"nausea, cough, fatigue",True
train_4517,train,What are the risk factors for stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_4518,train,How is stroke treated?,"physical_therapy, chemotherapy",True
train_4519,train,What are the symptoms of asthma?,"dizziness, fever, headache",True
train_4520,train,What are the symptoms of migraine?,"nausea, cough, shortness_of_breath",True
train_4521,train,What are the symptoms of pneumonia?,"cough, shortness_of_breath, headache",True
train_4522,train,How is migraine treated?,"antibiotics, chemotherapy",True
train_4523,train,What are the symptoms of cancer?,"fatigue, fever, shortness_of_breath",True
train_4524,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_4525,train,What are the symptoms of arthritis?,"nausea, fatigue, shortness_of_breath",True
train_4526,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_4527,train,What are the symptoms of depression?,"nausea, headache, fatigue",True
train_4528,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_4529,train,What are the symptoms of arthritis?,"chest_pain, joint_pain, nausea",True
train_4530,train,How is influenza treated?,"vaccination, surgery",True
train_4531,train,How is arthritis diagnosed?,arthritis is diagnosed through clinical evaluation and laboratory tests.,True
train_4532,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_4533,train,What are the symptoms of stroke?,"pain, chest_pain, headache",True
train_4534,train,How is asthma treated?,"surgery, aspirin",True
train_4535,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_4536,train,What are the symptoms of influenza?,"shortness_of_breath, joint_pain, fever",True
train_4537,train,What are the symptoms of stroke?,"fever, dizziness, chest_pain",True
train_4538,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_4539,train,What are the risk factors for pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_4540,train,How is arthritis treated?,"chemotherapy, aspirin",True
train_4541,train,What are the risk factors for influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_4542,train,How is migraine treated?,"surgery, chemotherapy",True
train_4543,train,What are the risk factors for arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_4544,train,What are the symptoms of pneumonia?,"chest_pain, pain, joint_pain",True
train_4545,train,How is influenza treated?,"chemotherapy, radiation",True
train_4546,train,What are the risk factors for hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_4547,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_4548,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_4549,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_4550,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_4551,train,What are the risk factors for arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_4552,train,How is arthritis diagnosed?,arthritis is diagnosed through clinical evaluation and laboratory tests.,True
train_4553,train,What are the symptoms of pneumonia?,"headache, dizziness, fatigue",True
train_4554,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_4555,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_4556,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_4557,train,How is arthritis treated?,"chemotherapy, antivirals",True
train_4558,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_4559,train,How is hypertension treated?,"insulin, physical_therapy",True
train_4560,train,What are the risk factors for depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_4561,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_4562,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_4563,train,What are the symptoms of pneumonia?,"joint_pain, cough, fever",True
train_4564,train,What are the symptoms of asthma?,"chest_pain, cough, nausea",True
train_4565,train,How is asthma treated?,"ibuprofen, antibiotics",True
train_4566,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_4567,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_4568,train,What are the risk factors for influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_4569,train,What are the risk factors for arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_4570,train,What are the symptoms of influenza?,"shortness_of_breath, chest_pain, nausea",True
train_4571,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_4572,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_4573,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_4574,train,What are the risk factors for pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_4575,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_4576,train,How is influenza diagnosed?,influenza is diagnosed through clinical evaluation and laboratory tests.,True
train_4577,train,What are the symptoms of influenza?,"joint_pain, cough, pain",True
train_4578,train,What causes cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_4579,train,What are the symptoms of depression?,"joint_pain, pain, chest_pain",True
train_4580,train,How is asthma diagnosed?,asthma is diagnosed through clinical evaluation and laboratory tests.,True
